model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia Lumia 710 T-Mobile|||Released 2012, January|||125.5g, 12.5mm thickness|||Microsoft Windows Phone 7.5 Mango|||8GB storage, no card slot|||3.7"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1300|||mAh|||Li-Ion|||1|||Black, white/black|||8GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-710-t-mobile.jpg
Nokia N77|||Released 2007, February|||114g, 18.8mm thickness|||Symbian OS 9.1, S60 rel. 3.1|||20MB 64MB RAM storage, microSD slot|||2.4"|||240x320 pixels|||2|||MP|||144p|||64|||MB RAM|||MISSING|||1100|||mAh|||Li-Ion|||1|||Black|||20MB|||64MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-n77.gif
Nokia 7710|||Released 2004, Q4|||189g, 19mm thickness|||Symbian 7.0s, Series 90 UI|||90MB storage, MMC slot|||3.5"|||640x320 pixels|||1|||MP|||144p|||MISSING|||MISSING|||TI OMAP 1510|||1300|||mAh|||Li-Po|||1|||MISSING|||90MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no7710.gif
Nokia 130|||Released 2014, September|||68.6g, 13.9mm thickness|||Feature phone|||4MB RAM storage, microSDHC slot|||1.8"|||128x160 pixels|||MISSING|||MISSING|||No video recorder|||4|||MB RAM|||MISSING|||1020|||mAh|||Li-Ion|||1|||Red, black, white|||4MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/Nokia-130.jpg
Nokia 6216 classic|||Cancelled|||88g, 14.5mm thickness|||Feature phone|||22MB storage, microSDHC slot|||2.0"|||240x320 pixels|||2|||MP|||480p|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||Coco Pearl|||22MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6216c.jpg
Nokia 106 (2018)|||Released 2018, November|||70.2g, 14.4mm thickness|||Feature phone|||4MB 4MB RAM storage, no card slot|||1.8"|||120x160 pixels|||MISSING|||MISSING|||MISSING|||4|||MB RAM|||MT6261D|||800|||mAh|||Li-Ion|||2|||Black|||4MB|||4MB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-106-2018-.jpg
Nokia 7250i|||Released 2003, June|||92g, 19mm thickness|||Feature phone|||No card slot||| |||128x128 pixels, 8 lines|||0.1|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||780|||mAh|||Li-Ion|||1|||Blue, Plum, Brown, Olive, Grey, Green|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no7250i.gif
Nokia 3 V|||Released 2019, August 23|||188.6g, 9.1mm thickness|||Android 9.0, up to Android 10, Android One|||16GB storage, microSDXC|||6.26"|||720x1520 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 429|||4000|||mAh|||Li-Ion|||1|||Blue|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-3v.jpg
Nokia Lumia 1020|||Released 2013, July 22|||158g, 10.4mm thickness|||Microsoft Windows Phone 8, up to 8.1|||32GB/64GB storage, no card slot|||4.5"|||768x1280 pixels|||41|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||2000|||mAh|||Li-Ion|||1|||Yellow, white, black, red (AT&T exclusive)|||32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-1020-ofic.jpg
Nokia C2-03|||Released 2011, September|||115g, 17mm thickness|||Feature phone|||10MB storage, microSDHC slot|||2.6"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||1020|||mAh|||Li-Ion|||2|||Chrome Black, Golden White|||10MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/Nokia-C2-03-white-light-gold.jpg
